country,median_age,gdp,edu_index
Romania,38.1,189776,0.915
Russia,38.5,1857770,0.933
Rwanda,18.6,6377,0.607
Saint Kitts and Nevis,31.5,712,0.896
Saint Lucia,30.3,1254,0.889
Saint Vincent and the Grenadines,29.5,688,0.817
Samoa,21.8,667,0.905
Sao Tome and Principe,17.5,256,0.813
Saudi Arabia,21.6,597086,0.828
Senegal,18.7,14448,0.417
Serbia,41.1,41057,0.891
Seychelles,32,1014,0.886
Sierra Leone,19,2897,0.403
Singapore,39.6,259850,0.913
Slovakia,37.3,96000,0.928
Slovenia,42.1,50284,0.969
Solomon Islands,20,838,0.676
South Africa,24.7,408237,0.843
Spain,41.5,1478206,0.975
Sri Lanka,31.3,59175,0.834
Sudan,19.3,56015,0.539
Suriname,28.3,4610,0.85
Swaziland,20.1,4090,0.731
Sweden,41.7,539387,0.974
Switzerland,41.3,660762,0.936
Syria,21.5,64273,0.773
Tajikistan,22.2,6523,0.896
Tanzania,18.3,23615,0.673
Thailand,33.7,369709,0.888
Togo,18.9,3695,0.534
Tonga,22.7,453,0.92
Trinidad and Tobago,32.6,21907,0.861
Tunisia,29.7,46332,0.772
Turkey,28.1,774983,0.828
Turkmenistan,24.8,25742,0.906
Uganda,15,19271,0.698
Ukraine,39.7,165245,0.96
United Arab Emirates,30.2,338690,0.838
United Kingdom,40.5,2429184,0.957
United States,36.9,14991300,0.968
Uruguay,33.7,46710,0.955
Uzbekistan,25.2,45558,0.888
Vanuatu,24.6,778,0.729
Venezuela,25.8,315893,0.921
Vietnam,27.4,123600,0.81
Yemen,16.4,31492,0.579
Zambia,17.2,19219,0.682
